id,clubCode,name,shortName,alfabeticOrder,direction,town,province,telephone,fax,mail,mail2,president,contact,telephoneCR,telephoneMobileCR,web
150,080339,ASSOCIACIO ESPORTIVA BADALONES,A.E. BADALONES     ,BADALONES  A.E.,"Plaça del Gas, s/n",BADALONA,Barcelona,620940940,000000000,administracio@aebadalones.com,,MANEL DUNJO COSCOLLANO,Oriol Entrena,934603278,659044590,
3449,250141,CLUB BASKET BALAFIA,C.B. BALAFIA,BALAFIA CLUB BASKET,"C/ CORREGIDOR ESCOFET, 83 3r 1a",LLEIDA,Lleida,636437591,,cebbalafia@gmail.com,,MERCÈ SANS SÁNCHEZ,ABRAHAM ODINA MORENO,,636437591,
402,250021,CLUB BASQUET BALAGUER,CLUB BASQUET BALAGU,BALAGUER C.B.,"C/ URGELL, 100",BALAGUER,Lleida,687591226,000000000,coordinacio@cbbalaguer.cat,,JERO MARTINEZ CORES,JONATAN MUÑOZ CARRIÓN,,687591226,www.cbbalaguer.com
81,080125,CLUB BASQUET ATENEU MONTSERRAT,BASQUET ATENEU MONT,BAM,"Torre Damians, 6",BARCELONA,Barcelona,629946871,000000000,areatecnica@basquetbam.cat,info@basquetbam.cat,JOSEP FIGUERA CASTELLS,JOEL ROMERO LAMESA (WhatsApp),934322080,659606024,www.basquetbam.cat
315,170007,CLUB BASQUET BANYOLES,CLUB BASQUET BANYOL,BANYOLES C.B.,"Pavelló de la Farga, Pg. Mas Riera, 22",BANYOLES,Girona,669473143,972591837,banyolesbasquet@gmail.com,social@cbbanyoles.com,JOSEP GARCIA TARRES,Paula Ortega,,669473143 ,www.cbbanyoles.com
82,080126,UNIO ESPORTIVA BARBERA,U.E. BARBERA       ,BARBERA UE,"Doctor Moragas, 112",BARBERA DEL VALLES,Barcelona,610284840,937293931,barberabasquet@gmail.com,,JOSE NUÑEZ SEVILLA,JOSE NUÑEZ SEVILLA,937184320,610284840,www.uebarbera.es
2,080003,FUTBOL CLUB BARCELONA,F.C. BARCELONA,BARCELONA F.C.,"C/ ARISTIDES MAILLOL, S/N",BARCELONA,Barcelona,675338775,,seccio.basquet@fcbarcelona.cat,,JOAN LAPORTA I ESTRUCH,ADRIÀ CANTÓN,934963714,675338775,www.fcbarcelona.cat
2737,081537,CLUB BASQUET 3 VILES,BASQUET 3 VILES,BASQUET 3 VILES,Carrer Contrabandistes S/N,SANT ANDREU DE LLAVANERES,Barcelona,676460701,000000000,maresme3viles@gmail.com,,LAURA BIAMONTI,Jorge Garcia Gonzalez,,676460703,
3436,089995,BASQUET FPBC,BASQUET FPBC,BASQUET FPBC,"rambla guipúscoa, 27",Barcelona,Barcelona,933966620,,fundacio@basquetcatala.cat,,,Marina Cabré,933966620,667028816,
256,081305,BADALONA BASQUET CLUB,BADALONA BASQUET CL,BBC,"C/ PONENT, 143",BADALONA,Barcelona,679516151,,alopez@penya.com,jmontoliu@penya.com,ROSENDO GABARA CAÑADA,FERRAN CANALS,934602040,676310800,www.penya.com
56,080077,CLUB BASQUET BEGUES,C.B. BEGUES        ,BEGUES C.B.,APARTAT DE CORREUS 55 BEGUES,BEGUES,Barcelona,690050472,,basquetbegues@gmail.com,,DIEGO MARTINEZ RAMOS,DIEGO MARTÍNEZ RAMOS,936391414,690050472,www.basquetbegues.cat
384,170260,ASSOCIACIO ESPORTIVA BEGUR,A.E. BEGUR         ,BEGUR A.E.,C/Andalusia 6 baix 3er,Palafrugell,Girona,636915224,,aebegur@hotmail.com,,MARC MARTÍ CRUZ,MARC MARTÍ CRUZ,972308896,636915224,
2530,170286,FUNDACIO PRIVADA CATALANA ESPORTIVA BEGUR,F.P.C.E. BEGUR,BEGUR F.P. CATALANA ESP.,PAVELLO MUNICIPAL D'ESPORTS,BEGUR,Girona,659295195,972623484,basquetfebegur@gmail.com,esportsbegur@gmail.com,MAITE  SELVA HUERTAS,LLUIS CAPELLA PUJULÀ,,659295195,
391,250005,CLUB BASQUET BELL-LLOC,CLUB BASQUET BELL-L,BELL-LLOC C.B.,"PLAÇA MAJOR, 8",BELL-LLOC D'URGELL,Lleida,616473636,973560562,cbbelllloc@gmail.com,,ANTONIO  ALENTA SOBREVALS,ANTONIO ALENTÀ SOBREVALS,,616473636,
3474,250142,UNIO ESPORTIVA BELLCAIRE,U.E. BELLCAIRE,BELLCAIRE UNIO ESPORTIVA,"LES SOGUES, 22",BELLCAIRE D'URGELL,Lleida,628557648,,uebellcaire@gmail.com,,RAÜL TUFET LLAGUNA,MIKI MARTINEZ CASTRO,,615591349,
399,250018,CLUB BASQUET BELLPUIG,CLUB BASQUET BELLPU,BELLPUIG C.B.,"Av. Les Garrigues, s/n",BELLPUIG,Lleida,628094552,973320206,coordinacio.cbbellpuig@gmail.com,,SERGI MARTÍ COSCONERA,ISAAC TORRES PANADES,,628094552,
163,080363,ASSOCIACIO ESPORTIVA BELLSPORT,A.E. BELLSPORT     ,BELLSPORT A.E.,"AV. MARE DE DEU DE BELLVITGE, 7","HOSPITALET DE LLOBREGAT,L'",Barcelona,672446797,,bellsport@aebellsport.com,,JOSE ANTONIO TORRES JIMENEZ,MARIO LOPEZ ,,672446797,www.aebellsport.com
2882,430317,CLUB DE BASQUET BELLVEI,C.B. BELLVEI,BELLVEI CLUB DE BÀSQUET,LLUIS COMPANYS 30,BELLVEI,Tarragona,657648024,,basquetbellvei@gmail.com,,Mª DE LOS ÁNGELES RONDA RAMÍREZ,Víctor Gómez,,675150047,basquet.bellvei.blogspot.com
395,250014,CLUB BASQUET BELLVIS,CLUB BASQUET BELLVI,BELLVIS C.B.,"C/Felix Casaus, 2",BELLVIS,Lleida,609874932,973716373,calcolell@hotmail.com,,M. ALBA MESEGUE SABATE,PERE REÑE COLELL,973565366,609874932,
3332,081604,CLUB BASQUET BELLVITGE 2018,CLUB BÀSQUET BELLVI,BELLVITGE 2018 C.B.,RAMBLA DE LA MARINA 100-110 ,L'HOSPITALET DEL LLOBREGAT,Barcelona,600893746,,cbbellvitge2018@gmail.com,,DAVID RODRIGUEZ TOSSO,DAVID RODRIGUEZ TOSSO,,600893746,
57,080078,ASSOCIACIO ESPORTIVA BASQUET BERGA,A.E.B. BERGA       ,BERGA BASQUET A.E.,Guillem de berguedà s/n,BERGA,Barcelona,650046541,00000000,tresoreria.basquetberga@gmail.com,,HUG TUYET PLANS,HUG TUYET PLANS,930000000,649340094,basquetberga.cat
370,170235,CLUB BASQUET BESCANO,CLUB BASQUET BESCAN,BESCANO C.B.,"AVINGUDA ASSUMPTA, 14",BESCANO,Girona,667506345,,cbasquetbescano@gmail.com,,ROBERT LLAGOSTERA FERRER,ANTONI LLARAS BADIA,921218000,652807823,
45,080058,CLUB DE BASQUET INSTITUCIO MONTSERRAT (BIM),B.I.M.             ,BIM C. DE,"Cros, 6-8",BARCELONA,Barcelona,679635376,,clubbim.ct@gmail.com,clubbim.ct@gmail.com,CARLOS LECHA JUNOY,Joan-Marc Estrella,934210150,658869685,www.clubbim.cat
2717,250132,CLUB BALONCESTO BINEFAR,C.B. BINEFAR,BINEFAR C.B.,"ZARAGOZA, 18",BINEFAR,Osca,622364790,000000000,baloncestobinefar@hotmail.com,,OLGA MARQUES ONDOÑO,JOSE MANUEL IBARZ NADAL,974428307,622364790,
378,170250,CLUB ESPORTIU BISBAL BASQUET,CLUB ESPORTIU BISBA,BISBAL B.C. ESPORTIU,"Avinguda Mas Clarà, S/N","BISBAL D'EMPORDA, LA",Girona,636553171,972642198,bisbalbasquet66@gmail.com,,JOAN BASSA I HONTANGAS,JOAN FERRER JOFRE,972642198,636553171,www.bisbalbasquet.com
311,170001,CLUB BASQUET BLANES,CLUB BASQUET BLANES,BLANES C.B.,"CIUTAT ESPORTIVA DE BLANES. C/Mas Cuní, 43",BLANES,Girona,609609273,972355680,cbblanes@cbblanes.cat,,JOAN BURCET TORDERA,SIMON PEREZ MIRALPEIX,972355680,609609273,www.cbblanes.cat
3381,081610,C.B. BON PASTOR-FPBC,C.B. BON PASTOR-FPB,BON PASTOR C.B.,C/Sant Adria 134,Barcelona,Barcelona,722499159,,basquetbonpastor.fbc@gmail.com,,,Coordinació Bàsquet Bon Pastor,722499159,696481686,
407,250031,CLUB BASQUET BORGES-GARRIGUES,CLUB BASQUET BORGES,BORGES GARRIGUES C.B.,"RAMON LLULL,28","BORGES BLANQUES, LES",Lleida,649617764,,coordinadorbasquetborges@gmail.com,basquetborges@gmail.com,JOSEP MONICO MARTI,ARNAU FOLGUERA ,,609844712,www.facebook.com/basquetborgesgarrigues
146,080321,C.E.S. BOSCO-HORTA,C.E.S. BOSCO-HORTA,BOSCO-HORTA C.E.S.,passeig de la vall d'hebron 258,BARCELONA,Barcelona,652673029,934280250,boscohortabq@gmail.com,,MIQUEL ARMENGOL I BARNIOL,ALEXANDRE DIAZ,934080250,652673029,
227,081156,ESCOLA ESPORTIVA BRAFA (FUNDACIO BRAFA),E.E. BRAFA         ,BRAFA E.E.,artesania 75,BARCELONA,Barcelona,678655581,933590462,bgomez@brafa.org,secciobasquet@brafa.org,IGNASI TALÓ VALLS,Daniel Gómez Redorta,933590116,627856771,www.brafa.org
59,080081,CLUB BASQUET CABRERA,C.B. CABRERA       ,CABRERA C.B.,"PAVELLÓ POLIESPORTIU - CARRER RIERA, S/N",CABRERA DE MAR,Barcelona,646 774 728,,clubbasquetcabrera@gmail.com,clubbasquetcabrera@gmail.com,FRANCESC  VEA CASTELLS,Adrià Ros Rodríguez,,615 864 374,
2738,081538,CLUB DE BASQUET CABRILS,C.B. CABRILS,CABRILS CLUB DE BASQUET,"Passatge Eucaliptus, 7",CABRILS,Barcelona,650719405,000000000,info@cbcabrils.com;gfrowd3@gmail.com,gfrowd3@gmail.com,XAVIER MAURICIO JUAN,GUILLEM FROWD OLIVÉ,,650719405,https://www.facebook.com/search/top/?q=cbcabrils
2828,170302,UNIO ESPORTIVA CADAQUES,U.E. CADAQUES,CADAQUES UNIO ESPORTIVA,Lluis Aznarez S/N,CADAQUES,Girona,616657555,,basquetcadaques@gmail.com,,GEORGE IANCU,Francesc Roca Llongueras,,616657555,
405,250027,CLUB BASQUET CALAF,CLUB BASQUET CALAF ,CALAF C.B.,"C/ALCALDE MAS DOMÈNECH, 1",CALAF,Barcelona,629850356,938680169,cbcalaf@basquetcatala.org,,JOAN BUSQUET GARBI,MIQUEL PUIGPINOS BERTRAN,,619793854,
436,430018,CLUB BASQUET CALAFELL,CLUB BASQUET CALAFE,CALAFELL C.B.,AVG ALEMANYA 3  ( pavelló) ,SEGUR DE CALAFELL,Tarragona,619747495,,cbcalafell@hotmail.com,,FRANCIS PEREZ,JORDI OLIVELLA MUNNE,977000000,619862890,
125,080211,CLUB NATACIO CALDES,C.N. CALDES        ,CALDES C.N.,TORRE ROJA S/N  - ZONA ESPORTIVA LES CREMADES,CALDES DE MONTBUI,Barcelona,617460921,938650423,cncaldes@cncaldes.cat,,ROC  LLEIXÀ CASTELLSAGUÉS ,Laura Marin,938650423,617460921,www.cncaldes.cat
2421,170275,CLUB ESPORTIU CALDES DE MALAVELLA,C.E. CALDES DE MALA,CALDES DE MALAVELLA C.E.,"C/ Dr. Castany, 83-85",SALT,Girona,619708444,,josepmaria@totoci.net,,MARC SERRA NAVARRO,JOSEP MARIA JOU FERNANDEZ,972244645,619708444,www.cecaldes.cat
10,080013,CLUB BASQUET CALELLA,C.B. CALELLA       ,CALELLA C.B.,"Pavelló Municipal ""Parc Dalmau"" - Sant Jaume, s/n",Calella,Barcelona,688315103,00000000,info@cbcalella.com,comunicacio@cbcalella.com,JORDI  ALBÓ MONTSANT,Jordi Puig,,688315103,www.cbcalella.com
3478,430332,3X3 CAMBRILS,3X3 CAMBRILS,CAMBRILS 3X3,"Av. Diputacion 85, Bloque 1, Escalera 2, Pta. 12",Cambrils,Tarragona,611317104,,info@3x3cambrils.cat,,MARIAN POPESCU,Marian Popescu,,611317104,
438,430021,CLUB BASQUETBOL CAMBRILS,C.B. CAMBRILS,CAMBRILS C.B.,"Plaça de l'ajuntament, 1",CAMBRILS,Tarragona,670315381,000000000,cbcambrils@cbcambrils.org,administracio@cbcambrils.org,FRANCESC CANALDAS SALVADO,SERGI LOU PEIRON,,670315381,www.cbcambrils.org
316,170009,CLUB BASQUET CAMPDEVANOL,CLUB BASQUET CAMPDE,CAMPDEVANOL C.B.,"CTRA. N-260 KM.121 ""PAVELLÓ MERCÈ GUIX"" APARTAT DE CORREUS 46",CAMPDEVANOL,Girona,747456406,,cbcfederacio@gmail.com,clubbasquetcampdevanol@gmail.com,EVA LÓPEZ RODRÍGUEZ,Eva López Rodríguez ,,747456406,clubbasquetcampdevanol.cat
3376,170313,SECCIO ESPORTIVA FEC VALL DEL TER DE LA FUNDACIO ESPORTIVA CAMPRODON,F.P. CAMPRODON,CAMPRODON FUNDACIO PRIVADA,C/ MOLLÓ S/N,CAMPRODON,Girona,699315119,,fundacio@fundescam.cat,,JORDI MARTI TRUÑO,Carles Martínez,,699315119,www.fundescam.cat
3140,081577,CLUB BASQUET CAN PARELLADA,C.B. CAN PARELLADA,CAN PARELLADA CLUB BASQUET,"AVDA. BEJAR, 188, 5-3",TERRASSA,Barcelona,659668079,,toni.ros@hotmail.es,,TONI ROS CALSINA,TONI ROS CALSINA,937837437,659668079,www.basquetcanpa.com
6,080008,CLUB BASQUET CANET,C.B. CANET         ,CANET C.B.,"CATALUNYA, S/N",CANET DE MAR,Barcelona,937956402,000000000,cbcanet@gmail.com,,ENRIQUE ISARN MACIÀ,JORDI ORQUIN GUSTEMS,937956402,659235108,www.cbcanet.org
253,081295,CANOVELLES BASKET CLUB,CANOVELLES B.C.,CANOVELLES B.C.,PAB. TAGAMANENT AVENIDA DIAGONAL S/N,CANOVELLES,Barcelona,630892905,938494413,canovellesbc@canovellesbc.com,,CARLES CUXART VAQUER,JOSE FERNANDEZ,,682811965,www.canovellesbc.com
426,430004,C.B. CANTAIRES DE L'EBRE-DELTA,C.B. CANTAIRES DE L,CANTAIRES DE L'EBRE- DELTAC.B.,C/Alcanyis S/N,TORTOSA,Tarragona,636530043,977046214,cbcantaires@hotmail.es,,GUSTAVO HERNAN YUPANQUI SANDOVAL,ANNA OBIOLS,,647867421,www.cbcantaires.com
264,081327,CLUB DE BASQUET CANYELLES DE NOU BARRIS DE BARCELONA,C.B. CANYELLES DE N,CANYELLES DE NOU BARRIS,"FEDERICO GARCIA LORCA Nº30, 10.3.",BARCELONA,Barcelona,630513238,000000000,mjguti69@hotmail.com,,DAVID GUTIERREZ FERNANDEZ,DAVID GUTIERREZ FERNANDEZ,930164367,630513238,
60,080082,UNIO ESPORTIVA CAPELLADES,U.E. CAPELLADES    ,CAPELLADES U.E.,AVINGUDA MATIES GUASCH S/N ( POLIESPORTIU),CAPELLADES,Barcelona,655533375,000000000,juntauecapellades@gmail.com,,SERGIO FERNANDEZ HERNANDEZ,SERGIO FERNANDEZ HERNANDEZ,,744458367,
419,250105,CLUB BASQUET CAPPONT,CLUB BASQUET CAPPON,CAPPONT C.B.,"AV. DOCTORA CASTELLS, S/N. ESCOLA FREDERIC GODÀS",LLEIDA,Lleida,651468825,973201315,cbcappont@gmail.com,,MARGARIDA ALMIRALL I BORRELL,PABLO POCIÑO MERINO,,651468825,http://cbcappont.cat
61,080083,CLUB BASQUET CARDEDEU,C.B. CARDEDEU      ,CARDEDEU C.B.,"JAUME CAMPMAJOR, 30 (Pavello Mun Cardedeu)",CARDEDEU,Barcelona,677407923,,cb.cardedeu@basquetcatala.org,,BÁRBARA DORADO MARTÍNEZ,JORDI PALMADA TORRAS,,648559222,
40,080050,"SOCIETAT D'ESBARJO I CULTURA ""LA PRINCIPAL""",S.E. CASAL VILAFRAN,CASAL VILAFRANCA S.E.,"Rambla Nostra Senyora, 37",VILAFRANCA DEL PENEDES,Barcelona,667073975,000000000,tecnicabasquet@casal.org,juntabasquet@casal.org,FRANCESC XAVIER  FLORENTÍN SOLER,Pau Fuentes,,667073975,www.casal.org
62,080085,ASSOCIACIO ESPORTIVA CASP,A.E. CASP          ,CASP A.E.,"CASP, 25 / ROGER DE LLÚRIA, 19",BARCELONA,Barcelona,628513084,933170426,enricmateomolinos@gmail.com,marcmillans.23@gmail.com,MARIA TERESA ANDREU BELTRAN,MARC MILLAN,628513084,681292834,
325,170023,FOMENT DEPORTIU CASSANENC,F.D. CASSANENC     ,CASSANENC FOMENT DEPORTIU,PISCINA S/N FOMENT DEPORTIU,CASSA DE LA SELVA,Girona,609510058,942460034,arcadisitja@gmail.com,,ÀNGEL TEIXIDOR GÚELL,ARCADI SITJA PARADEDA,972463729,609510058,
11,080014,CLUB BASQUET CASTELLAR,C.B. CASTELLAR     ,CASTELLAR C.B.,APARTAT DE CORREOS 44,CASTELLAR DEL VALLES,Barcelona,636447766,,cbc@cbcastellar.com,,JOSEP  BORDAS GRANGEL ,ANNA GALVEZ GUTIERREZ,937159273,636447766,www.cbcastellar.com
229,081207,CLUB BASQUET CASTELLBISBAL,C.B. CASTELLBISBAL ,CASTELLBISBAL C.B.,C\AGRICULTURA S\N (ILLA ESPORTIVA),CASTELLBISBAL,Barcelona,692616394,,info@basquetcastellbisbal.cat,,CARLOS VALVERDE DIAZ,ADRIÀ CAMPRUBÍ ROVIRA,,636839489,www.basquetcastellbisbal.com
164,080364,CLUB BASQUET CASTELLDEFELS,C.B. CASTELLDEFELS ,CASTELLDEFELS C.B.,"Rambla Blas Infante, 23",Castelldefels,Barcelona,622643549,,administracio@cbcastelldefels.com,,ANTONIO OSUNA CASTILLO,RICARD GUIX ACIEN,606997578,606416190,www.cbcastelldefels.com
3514,081623,CENTRE CULTURAL I RECREATIU DE CASTELLDEFELS,,castelldefels ccr,CARRER CASTANYER S/N Pav. Can Roca,CASTELLDEFELS,Barcelona,645960943,,xmira@santoangel.org,xmira@santoangel.org,JUAN PATRICIO GARCIA GUIRRIEC,XAVIER MIRA BERDÚN,645960943,645960943,www.ccrbaixsud.com
20,080028,CLUB BALONCESTO CASTELLET,C.B. CASTELLET     ,CASTELLET C.B.,C/Barcelona s/n (PAVELLÓ ESPORTIU),SANT VICENÇ DE CASTELLET,Barcelona,691902391,,coordinador@cbcastellet.cat,administracio@cbcastellet.cat,SANTIAGO PEREZ CANTOS,JOAN CANOVAS,931869301,640051733,www.cbcastellet.cat
